B5034	B1152	B5181	A3087	A2012	A1194	D3223	D2157	D2085	C6055	C1160	C6103	M5158	M2095	M2146	K3064	K3132	K6172	J4092	J4051	J3005	O2008	O4057	O3212	E2073	E4056	E4083	F1219	F4247	F6089	G3103	G4248	G1045	L1108	L3147	L2116	I3216	I6177	I3211	N4004	N2013	N2076	H6347	H6212	H4089
OTU36	18	59	151	170	39	47	10	26	33	19	10	52	96	47	135	209	71	91	853	151	241	16	36	34	22	89	76	43	145	379	751	25	41	60	147	36	83	122	470	54	63	79	331	58	187
OTU140	81	9	7	18	26	38	14	16	26	2	8	30	10	14	26	5	9	30	7	12	4	14	2	6	140	29	13	23	17	1	19	63	24	60	29	6	11	4	47	98	8	23	94	33	40
OTU267	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	1	2	1	0	0	0	0	0	1	1	0	165	2	0	0	0	1	0	0
OTU210	0	0	0	1255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU182	7	0	0	2	0	0	0	0	16	2	0	0	0	0	0	1	48	21	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	19	0	9	0	0	0	71	0	0
OTU131	6	0	0	4	52	727	0	28	27	0	41	14	0	0	0	6	4	1	1	1	2	3	0	0	14	0	2	1	0	8	2	0	9	0	1	0	0	49	1	0	3	2	0	1	1
OTU23	546	402	120	248	681	898	71	186	68	85	71	165	387	164	591	25	69	148	505	147	142	137	54	139	2155	497	454	162	666	729	192	2177	1393	94	41	47	162	2241	792	727	115	199	701	1023	883
OTU238	0	0	0	5	6	2	0	0	1	0	3	0	6	1	1	4	2	3	0	0	0	0	0	1	0	2	7	0	1	0	0	11	0	0	0	0	1	0	2	1	5	0	6	43	5
OTU260	3	6	0	5	3	3	0	27	0	5	1	14	0	1	1	1	0	2	3	1	2	0	1	1	1	20	0	3	3	2	0	1	1	1	0	2	2	6	5	20	6	11	11	1	5
OTU27	3739	80	94	107	118	2204	29	540	95	6	28	34	2	2269	273	25	183	348	4	4	52	113	27	2	14	289	3702	138	19	95	66	4121	181	17	149	59	143	51	3733	322	460	993	3	326	22
OTU93	13	12	76	26	66	13	51	11	34	11	84	5	13	14	12	230	26	4	93	39	39	6	7	21	35	58	19	24	5	16	5	64	6	28	1	3	1	9	4	10	3	2	28	2	18
OTU15	892	801	1706	313	754	1587	721	277	847	1678	1048	496	504	1341	1173	1214	1060	853	1550	498	504	491	479	1726	387	1085	1863	1302	860	2057	755	651	826	820	340	376	830	823	1831	1221	960	1283	735	415	1002
OTU14	979	148	1347	226	473	1519	267	637	844	7681	1080	3468	569	848	1075	2614	2773	1409	1107	405	214	486	409	598	357	3693	1330	1020	1503	953	242	1091	1172	1482	1895	334	662	1062	5452	1150	696	802	1817	1851	1316
OTU237	4	3	8	6	3	5	3	7	1	9	9	12	25	9	14	16	8	26	22	26	11	17	16	8	7	71	13	28	9	25	8	51	24	15	11	13	12	77	7	14	17	13	11	7	25
OTU49	25	13	34	10	5	10	4	29	18	26	62	31	66	194	37	96	57	123	18	88	45	118	33	25	27	240	42	28	83	362	48	5279	138	118	264	219	24	29	26	34	102	42	132	27	70
