B5034	B1152	B5181	A3087	A2012	A1194	D3223	D2157	D2085	C6055	C1160	C6103	M5158	M2095	M2146	K3064	K3132	K6172	J4092	J4051	J3005	O2008	O4057	O3212	E2073	E4056	E4083	F1219	F4247	F6089	G3103	G4248	G1045	L1108	L3147	L2116	I3216	I6177	I3211	N4004	N2013	N2076	H6347	H6212	H4089
Psychrobacter	0	0	0	0.218330952	0	0	0	7.13e-05	0.000514263	0	0	2.01e-05	0	0	0	0.00020195	0.000204867	0.001597913	0	0	6.14e-05	1.76e-05	0.000214166	0.004917587	2.79e-05	4.76e-05	0	4e-05	0.000212934	0.000709143	0	0	0	3.28e-05	0.002277281	0.011847929	1.59e-05	4.52e-05	0	0	0	0	0	0	1.32e-05
Holdemanella	0.087450501	0.001780776	0.002202816	0.004365444	0.002794031	0.04893535	0.002560953	0.01161028	0.107874278	0.000616351	0.000716792	0.002086426	0.000502122	0.03911038	0.006316614	0.000844517	0.005508639	0.008870047	0.000441174	0.000593188	0.001596904	0.003217922	0.000992952	0.000719173	0.001281123	0.005425902	0.058140608	0.005524972	0.000517126	0.002435753	0.008069818	0.059718294	0.003532238	0.001475531	0.002219628	0.003208411	0.006369934	0.005476637	0.062329204	0.007591406	0.007798763	0.020070137	0.00062065	0.005466077	0.01693953
Geodermatophilus	0	0	0	0	0	0	0	0.000998734	0	0	0	0	0	0	0	0	0.00022763	0.000163052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000344291	4.32e-05	0.001063028	0	0	0	0	0	0	0	0	0
Geobacillus	0	0	0	0	0	0	0	1.78e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.21e-05	0	0	0	0	0	0	0	0	0	1.64e-05	0	0	0	0	0	0	0	1.64e-05	0	0	0	0	0	2.64e-05
Alistipes	0.002342794	0.000984664	0.000204547	0.001135407	0.003467885	0.000100518	0.000209057	3.57e-05	9.08e-05	3.98e-05	0.000188629	0.000140433	1.62e-05	1.61e-05	3.41e-05	3.67e-05	0.000182104	1.63e-05	7.88e-05	6.59e-05	3.07e-05	0	0	0	0.000167103	7.93e-05	0.000184525	4e-05	3.04e-05	3.08e-05	6.57e-05	0.000211068	0.000376599	1.64e-05	1.44e-05	3.87e-05	9.55e-05	0.000191965	0	1.77e-05	0	1.98e-05	0.000567829	0.00049913	0.001557961
Aeromonas	0	0	0	1.96e-05	0.000312274	3.35e-05	0	0	3.03e-05	0	0	0	0	0	0	0	9.11e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64e-05	0	0	1.64e-05	0	0	1.59e-05	0	0	1.77e-05	0	0	0	0	0
Neisseria	0	0	0	0	0	0	0	0	0	0	0	2.01e-05	0	0	0	0	0	0	0	0	0	1.76e-05	0	0	0	0	0	0	3.04e-05	0	0	0	0	1.64e-05	0	0	0	0.001456672	0	0	0	0	1.32e-05	0	0.000250858
Scardovia	0	0	0	0	0	0	2.61e-05	0	0	0	0	0	4.86e-05	0	1.7e-05	0	0	0	0	1.65e-05	0	0	0	0	5.57e-05	1.59e-05	1.54e-05	0	0	1.54e-05	0	0	0	0	1.44e-05	0	0	0	0	1.77e-05	1.63e-05	1.98e-05	0	0	0.000132031
Faecalibacterium	0.097816847	0.076531467	0.005097947	0.010649335	0.068634541	0.004406024	0.005095774	0.002371993	0.002480564	0.002525052	0.002471045	0.002046303	0.001943698	0.003564286	0.003847856	0.001432007	0.002344586	0.001434861	0.004427498	0.004086408	0.004299358	0.000756124	0.000428332	0.000971855	0.010945246	0.004394663	0.002690983	0.004383946	0.010129586	0.002713244	0.001775031	0.007584392	0.008856568	0.000623002	0.001282772	0.000579833	0.001321761	0.198570428	0.003861825	0.010610314	0.003256268	0.005745646	0.006602665	0.024713	0.008661209
Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinoplanes	0	0	0	0	0	0	0	0.000321022	0	0	0	0	0	0	0	0	0	0.000130442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000229527	2.88e-05	0.000425211	0	0	0	0	0	0	0	0	0
Clostridium_XI	0.000559783	0	1.57e-05	0.00019576	0.000328709	0.001390494	2.61e-05	5.35e-05	0.000211755	0.008111977	9.43e-05	4.01e-05	3.24e-05	3.23e-05	0	7.34e-05	0.000204867	0.000407631	0.000661761	0.000642621	6.14e-05	0.00012309	0	0	0.00114187	0.004727832	0.005243572	4e-05	0.00038024	0.000308323	4.93e-05	1.41e-05	6.49e-05	0.000442659	0.000216198	0.001352945	0.002038379	0.000824319	8.18e-05	0.000229508	0.000195376	0.000317001	0.000462187	0.000852172	0.004026934
Enterococcus	0.00053905	0.000775161	0.003508772	0.044672396	0.000312274	0.001005177	0.00120208	0.000659878	0.000907523	0.001550819	0.004659147	0.000682101	0.007126891	0.049706471	0.001702591	0.003892122	0.011813981	0.009554867	0.0065861	0.072747944	0.013819366	0.0461763	0.173766598	0.008941067	0.000111402	0.003823515	0.001291672	0.022440196	0.000988623	0.000292907	0.000640983	0.00068949	0.00088306	0.007607181	0.030411784	0.006822706	0.022294769	0.001004991	0.004270917	0.00390163	0.008824487	0.0033087	0.01821015	0.000316521	0.002957486
Alloprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.55e-05	0	0	0	0	0	0	0	0	1.59e-05	0	0	1.52e-05	0	0	1.41e-05	0	0	2.88e-05	0	0	2.26e-05	0	0	0	0	0	1.22e-05	0
Romboutsia	0.013766508	0.007919216	0.049579105	0.015249692	0.013016896	0.161866948	0.027778504	0.092703893	0.058747013	0.051733736	0.043479081	0.198972836	0.11934303	0.100332237	0.161456737	0.054306119	0.069882315	0.164748084	0.043896828	0.018635997	0.040168289	0.045279502	0.113839025	0.034850723	0.054141369	0.129015881	0.124507935	0.062396157	0.116916104	0.013042071	0.029797515	0.126472202	0.214869164	0.089777851	0.079733645	0.192118131	0.12480293	0.080083109	0.057191013	0.066274738	0.044676001	0.034236126	0.175089466	0.041488623	0.213519937
Mobiluncus	2.07e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63e-05	0	1.65e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.32e-05
Coprococcus	0.037505442	0.005593732	0.016914484	0.004991876	0.00414174	0.012547955	0.008414561	0.002247151	0.009952506	0.018152537	0.007130192	0.00359106	0.003012731	0.007999484	0.003728675	0.002698783	0.011199381	0.002543617	0.003324562	0.006755755	0.007830974	0.001723259	0.00221954	0.006958482	0.008132346	0.005854262	0.011486653	0.003423081	0.00371114	0.00332989	0.003204917	0.008062814	0.001545354	0.002508402	0.001383664	0.001604206	0.005446293	0.002597168	0.008640016	0.004201755	0.002881797	0.005151269	0.006549844	0.001801736	0.004990758
Brevibacterium	0	0	0	0	0	0	0	0	0	1.99e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59e-05	0	0	0	0	0	0	0	5.28e-05
Parvimonas	0	0	4.72e-05	1.96e-05	3.29e-05	1.68e-05	0	5.35e-05	3.03e-05	3.98e-05	0.000754518	0.000140433	9.72e-05	3.23e-05	1.7e-05	1.84e-05	6.83e-05	1.63e-05	1.58e-05	1.65e-05	6.14e-05	0	3.89e-05	3.89e-05	1.39e-05	0.000142787	7.69e-05	0.000140126	1.52e-05	3.08e-05	1.64e-05	2.81e-05	0	8.2e-05	1.44e-05	7.73e-05	1.59e-05	7.9e-05	6.55e-05	3.53e-05	3.26e-05	7.93e-05	1.32e-05	0.000584347	0.000105625
Fusicatenibacter	0.009226049	0.031299757	0.040217135	0.006244739	0.031441062	0.017590592	0.035095513	0.016140251	0.022385576	0.028292508	0.048232542	0.018336476	0.013735463	0.025966067	0.015868151	0.021682058	0.080171178	0.002396869	0.013345518	0.011781377	0.052544299	0.002321124	0.007865737	0.032732079	0.006015708	0.01099459	0.041271989	0.062075868	0.02143031	0.03849415	0.005505884	0.004587221	0.011635608	0.007492417	0.003300615	0.005817662	0.004331555	0.070292915	0.006578194	0.00840351	0.008922175	0.004675767	0.017946043	0.004126949	0.001901241
Alloscardovia	0	0	0	0	1.64e-05	0	0	0	0	0	1.89e-05	0	0	0	0	0	0	0	4.73e-05	1.65e-05	9.21e-05	0	0	0	0	1.59e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77e-05	0	3.96e-05	0	0	0
Slackia	6.22e-05	0	4.72e-05	0.001115831	0.000164355	5.03e-05	2.61e-05	0.000303187	0	3.98e-05	0.000113178	0.000140433	3.24e-05	0.004628734	0.000306466	5.51e-05	4.55e-05	0.00037502	0.000204831	0.000197729	0.007339619	1.76e-05	0.000136288	3.89e-05	0.000375982	0.000920182	0.000169147	0	9.13e-05	7.71e-05	9.86e-05	0.000182926	2.6e-05	9.84e-05	1.44e-05	1.93e-05	0.000207023	0.000395221	0.00031091	0.000123581	0.000341908	0	0.000739498	0.000231304	0.000105625
Pediococcus	2.07e-05	8.38e-05	0	0	0	0	2.61e-05	1.78e-05	0.000211755	0	0	4.01e-05	1.62e-05	0	0	0	0	0	0	0	3.07e-05	0.001547416	0.004205444	0.004645467	0	0.000317304	0.000138393	2e-05	1.52e-05	1.54e-05	0	2.81e-05	0	0.000541028	0	3.87e-05	6.37e-05	0.003263398	0.000163637	0.00342496	0.005682188	0.005706021	0	1.22e-05	0.000356483
Anaerofustis	2.07e-05	4.19e-05	0	0	0	1.68e-05	0	0	0	5.96e-05	0	2.01e-05	1.62e-05	1.61e-05	3.41e-05	0	0.000136578	3.26e-05	4.73e-05	3.3e-05	0	3.52e-05	1.95e-05	0	0	0	0	4e-05	0	0	1.64e-05	0	0	0	0	1.93e-05	0	0	1.64e-05	0	0.000113969	0	0	1.22e-05	0
Brevibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000175227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64e-05	0	0.000162813	0.000158501	0	0	0
Atopobium	0	2.1e-05	4.72e-05	0	1.64e-05	3.35e-05	5.23e-05	0.00019618	0	1.99e-05	3.77e-05	8.02e-05	6.48e-05	1.61e-05	0	3.67e-05	0.000113815	1.63e-05	3.15e-05	6.59e-05	0	0	3.89e-05	7.77e-05	0.000139252	9.52e-05	6.15e-05	6.01e-05	1.52e-05	0	4.93e-05	5.63e-05	3.9e-05	1.64e-05	4.32e-05	0.000115967	6.37e-05	0.000101628	8.18e-05	7.06e-05	6.51e-05	3.96e-05	3.96e-05	7.3e-05	0
Geobacter	0	0	0	0	0	0	2.61e-05	0.000570705	0	0	0	0.00034105	0	0	0	0	0	0	0	0	0	0	1.95e-05	0	0	0	0	0	1.52e-05	0	0	0	0	0	1.44e-05	0	0	1.13e-05	0	0	0	0	0	0	0
Burkholderia	0	0	0	1.96e-05	0	0	0	3.57e-05	0	1.99e-05	0	4.01e-05	0	0	0	0	0.000159341	1.63e-05	1.58e-05	0	0	0	0	0	0	0	0	0	0	0	0.000295839	0	0	1.64e-05	0	0.000115967	0	0	0	0	0	0	0	0	0
Vibrio	0	0	0	0	0	0	0	3.57e-05	0	0	0	0	0	0	1.7e-05	0	0	3.26e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2e-05	1.44e-05	0.000231933	0	1.13e-05	0	0	0	0	0	0	0
Veillonella	2.07e-05	4.19e-05	6.29e-05	0.000959223	0	0.000100518	0.000287454	0.000107007	3.03e-05	0	3.77e-05	2.01e-05	1.62e-05	4.84e-05	6.81e-05	0	0	0	3.15e-05	0.000230684	9.21e-05	0	0	0	1.39e-05	0	0	6.01e-05	4.56e-05	0.000107913	0	1.41e-05	0	0	7.21e-05	1.93e-05	0	0.000259717	0	0	3.26e-05	1.98e-05	0	0.000426086	0.000118828
