metabolite_id	col	row	cor_cdata	cor_pdata	cor_qdata	food	id	chemical_name
312	COMPID_52610	72	8	0.207561712	3.36e-06	0.00175583652173913	Fruit	52610	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)
320	COMPID_52690	47	8	0.197426905	1.01e-05	0.0035844	Fruit	52690	1-linoleoyl-GPA (18:2)*
326	COMPID_52947	200	1	-0.181236886	5.18e-05	0.0095954480620155	Rice	52947	4-HDoHE
372	COMPID_57564	680	8	0.244784946	3.69e-08	6.67381142857143e-05	Fruit	57564	perfluorooctanesulfonate (PFOS)
373	COMPID_57564	680	1	-0.203253224	5.39e-06	0.00243017811320755	Rice	57564	perfluorooctanesulfonate (PFOS)
384	COMPID_57658	554	8	0.204532303	4.69e-06	0.00228718857142857	Fruit	57658	heneicosapentaenoate (21:5n3)
393	COMPID_601	454	8	-0.258042508	6.11e-09	1.62227288888889e-05	Fruit	601	dihydroorotate
396	COMPID_61833	225	8	-0.194676232	1.34e-05	0.00425162597402597	Fruit	61833	5,6-dihydrouridine
401	COMPID_61871	165	8	0.177953641	7.1e-05	0.0117008	Fruit	61871	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**
404	COMPID_61873	632	1	0.153746622	0.00061378	0.0395865258221024	Rice	61873	methylnaphthyl sulfate (2)*
416	COMPID_62146	529	1	-0.186457775	3.1e-05	0.00694547289719626	Rice	62146	glycine conjugate of C10H14O2 (1)*
424	COMPID_62277	571	8	0.210263544	2.48e-06	0.001517396	Fruit	62277	hydroxy-CMPF*
426	COMPID_62508	273	8	0.200095484	7.57e-06	0.00296545442622951	Fruit	62508	HXGXA*
428	COMPID_62528	128	8	-0.152999361	0.000652965	0.0412784434920635	Fruit	62528	2-hydroxyfluorene sulfate
430	COMPID_62809	262	8	-0.161466437	0.000318605	0.02976872203125	Fruit	62809	Fibrinopeptide A (2-15)**
431	COMPID_62810	265	8	-0.176704162	7.99e-05	0.0125611210526316	Fruit	62810	Fibrinopeptide A (4-15)**
